,m,r,5,5_alpha
0,0.0,0.0,0.19599999999999995,0.5
1,0.0,1.0,0.1755,0.5
2,0.0,2.0,0.1895,0.5
3,0.0,3.0,0.1765,0.5
4,0.0,4.0,0.1815,0.5
5,0.0,5.0,0.18500000000000005,0.5
6,0.0,6.0,0.1795,0.5
7,0.0,7.0,0.1945,0.5
8,0.0,8.0,0.18200000000000005,0.5
9,0.0,9.0,0.18799999999999994,0.5
10,1.0,0.0,0.16849999999999998,0.5
11,1.0,1.0,0.15549999999999997,0.5
12,1.0,2.0,0.16400000000000003,0.5
13,1.0,3.0,0.16849999999999998,0.5
14,1.0,4.0,0.15600000000000003,0.5
15,1.0,5.0,0.15200000000000002,0.5
16,1.0,6.0,0.16449999999999998,0.5
17,1.0,7.0,0.1755,0.5
18,1.0,8.0,0.16149999999999998,0.5
19,1.0,9.0,0.16049999999999998,0.5
20,2.0,0.0,0.16300000000000003,0.5
21,2.0,1.0,0.1735,0.5
22,2.0,2.0,0.15900000000000003,0.5
23,2.0,3.0,0.16200000000000003,0.5
24,2.0,4.0,0.16149999999999998,0.5
25,2.0,5.0,0.1735,0.5
26,2.0,6.0,0.16349999999999998,0.5
27,2.0,7.0,0.15449999999999997,0.5
28,2.0,8.0,0.16049999999999998,0.5
29,2.0,9.0,0.16449999999999998,0.5
30,3.0,0.0,0.17200000000000004,0.5
31,3.0,1.0,0.16049999999999998,0.5
32,3.0,2.0,0.16500000000000004,0.5
33,3.0,3.0,0.16800000000000004,0.5
34,3.0,4.0,0.16549999999999998,0.5
35,3.0,5.0,0.16549999999999998,0.5
36,3.0,6.0,0.16300000000000003,0.5
37,3.0,7.0,0.16700000000000004,0.5
38,3.0,8.0,0.16100000000000003,0.5
39,3.0,9.0,0.1725,0.5
40,4.0,0.0,0.16649999999999998,0.5
41,4.0,1.0,0.16449999999999998,0.5
42,4.0,2.0,0.16249999999999998,0.5
43,4.0,3.0,0.15949999999999998,0.5
44,4.0,4.0,0.16700000000000004,0.5
45,4.0,5.0,0.1735,0.5
46,4.0,6.0,0.1725,0.5
47,4.0,7.0,0.16200000000000003,0.5
48,4.0,8.0,0.16300000000000003,0.5
49,4.0,9.0,0.16849999999999998,0.5
50,5.0,0.0,0.16200000000000003,0.5
51,5.0,1.0,0.1765,0.5
52,5.0,2.0,0.16049999999999998,0.5
53,5.0,3.0,0.1775,0.5
54,5.0,4.0,0.16949999999999998,0.5
55,5.0,5.0,0.16300000000000003,0.5
56,5.0,6.0,0.16400000000000003,0.5
57,5.0,7.0,0.17300000000000004,0.5
58,5.0,8.0,0.16300000000000003,0.5
59,5.0,9.0,0.16600000000000004,0.5
60,10.0,0.0,0.17700000000000005,0.5
61,10.0,1.0,0.17600000000000005,0.5
62,10.0,2.0,0.17800000000000005,0.5
63,10.0,3.0,0.17900000000000005,0.5
64,10.0,4.0,0.1795,0.5
65,10.0,5.0,0.1855,0.5
66,10.0,6.0,0.17600000000000005,0.5
67,10.0,7.0,0.17200000000000004,0.5
68,10.0,8.0,0.16849999999999998,0.5
69,10.0,9.0,0.17700000000000005,0.5
70,20.0,0.0,0.17600000000000005,0.5
71,20.0,1.0,0.1795,0.5
72,20.0,2.0,0.1905,0.5
73,20.0,3.0,0.1865,0.5
74,20.0,4.0,0.1805,0.5
75,20.0,5.0,0.18000000000000005,0.5
76,20.0,6.0,0.18999999999999995,0.5
77,20.0,7.0,0.1935,0.5
78,20.0,8.0,0.19099999999999995,0.5
79,20.0,9.0,0.1875,0.5
